parent_id,child_id,relation_type
1,1876,father
2,1876,mother
3,1877,father
4,1877,mother
5,1878,father
6,1878,mother
7,1879,father
8,1879,mother
9,1880,father
10,1880,mother
11,1881,father
12,1881,mother
13,1882,father
14,1882,mother
15,1883,father
16,1883,mother
17,1884,father
18,1884,mother
19,1885,father
20,1885,mother
21,1886,father
22,1886,mother
23,1887,father
24,1887,mother
25,1888,father
26,1888,mother
27,1889,father
28,1889,mother
29,1890,father
30,1890,mother
31,1891,father
32,1891,mother
33,1892,father
34,1892,mother
35,1893,father
36,1893,mother
37,1894,father
38,1894,mother
39,1895,father
40,1895,mother
41,1896,father
42,1896,mother
43,1897,father
44,1897,mother
45,1898,father
46,1898,mother
47,1899,father
48,1899,mother
49,1900,father
50,1900,mother
51,1901,father
52,1901,mother
53,1902,father
54,1902,mother
55,1903,father
56,1903,mother
57,1904,father
58,1904,mother
59,1905,father
60,1905,mother
61,1906,father
62,1906,mother
63,1907,father
64,1907,mother
65,1908,father
66,1908,mother
67,1909,father
68,1909,mother
69,1910,father
70,1910,mother
71,1911,father
72,1911,mother
73,1912,father
74,1912,mother
75,1913,father
76,1913,mother
77,1914,father
78,1914,mother
79,1915,father
80,1915,mother
81,1916,father
82,1916,mother
83,1917,father
84,1917,mother
85,1918,father
86,1918,mother
87,1919,father
88,1919,mother
89,1920,father
90,1920,mother
91,1921,father
92,1921,mother
93,1922,father
94,1922,mother
95,1923,father
96,1923,mother
97,1924,father
98,1924,mother
99,1925,father
100,1925,mother
101,1926,father
102,1926,mother
103,1927,father
104,1927,mother
105,1928,father
106,1928,mother
107,1929,father
108,1929,mother
109,1930,father
110,1930,mother
111,1931,father
112,1931,mother
113,1932,father
114,1932,mother
115,1933,father
116,1933,mother
117,1934,father
118,1934,mother
119,1935,father
120,1935,mother
121,1936,father
122,1936,mother
123,1937,father
124,1937,mother
125,1938,father
126,1938,mother
127,1939,father
128,1939,mother
129,1940,father
130,1940,mother
131,1941,father
132,1941,mother
133,1942,father
134,1942,mother
135,1943,father
136,1943,mother
137,1944,father
138,1944,mother
139,1945,father
140,1945,mother
141,1946,father
142,1946,mother
143,1947,father
144,1947,mother
145,1948,father
146,1948,mother
147,1949,father
148,1949,mother
149,1950,father
150,1950,mother
151,1951,father
152,1951,mother
153,1952,father
154,1952,mother
155,1953,father
156,1953,mother
157,1954,father
158,1954,mother
159,1955,father
160,1955,mother
161,1956,father
162,1956,mother
163,1957,father
164,1957,mother
165,1958,father
166,1958,mother
167,1959,father
168,1959,mother
169,1960,father
170,1960,mother
171,1961,father
172,1961,mother
173,1962,father
