tree_id,user_id,role,created_at
1,1,owner,2026-06-18T11:43:11+00:00
1,2,editor,2026-06-18T11:43:11+00:00
2,2,owner,2026-06-18T11:43:11+00:00
2,3,editor,2026-06-18T11:43:11+00:00
3,3,owner,2026-06-18T11:43:11+00:00
3,4,editor,2026-06-18T11:43:11+00:00
4,4,owner,2026-06-18T11:43:11+00:00
4,5,editor,2026-06-18T11:43:11+00:00
5,5,owner,2026-06-18T11:43:11+00:00
5,6,editor,2026-06-18T11:43:11+00:00
6,6,owner,2026-06-18T11:43:11+00:00
6,1,editor,2026-06-18T11:43:11+00:00
7,1,owner,2026-06-18T11:43:11+00:00
7,2,editor,2026-06-18T11:43:11+00:00
8,2,owner,2026-06-18T11:43:11+00:00
8,3,editor,2026-06-18T11:43:11+00:00
9,3,owner,2026-06-18T11:43:11+00:00
9,4,editor,2026-06-18T11:43:11+00:00
10,4,owner,2026-06-18T11:43:11+00:00
10,5,editor,2026-06-18T11:43:11+00:00
